id,parent_id/id,code,name,iva_affected,tax_category,internet_available,active
l10n_cl_partner_activity_266,l10n_cl_partner_activity_265,261000,FABRICACIÓN DE COMPONENTES Y TABLEROS ELECTRÓNICOS ,yes,1,1,1
l10n_cl_partner_activity_267,l10n_cl_partner_activity_120,,FABRICACIÓN DE COMPUTADORES Y EQUIPO PERIFÉRICO                 ,not,nd,1,1
l10n_cl_partner_activity_268,l10n_cl_partner_activity_267,262000,FABRICACIÓN DE COMPUTADORES Y EQUIPO PERIFÉRICO ,yes,1,1,1
l10n_cl_partner_activity_269,l10n_cl_partner_activity_120,,FABRICACIÓN DE EQUIPO DE COMUNICACIONES                  ,not,nd,1,1
l10n_cl_partner_activity_270,l10n_cl_partner_activity_269,263000,FABRICACIÓN DE EQUIPO DE COMUNICACIONES ,yes,1,1,1
l10n_cl_partner_activity_271,l10n_cl_partner_activity_120,,FABRICACIÓN DE APARATOS ELECTRÓNICOS DE CONSUMO                 ,not,nd,1,1
l10n_cl_partner_activity_272,l10n_cl_partner_activity_271,264000,FABRICACIÓN DE APARATOS ELECTRÓNICOS DE CONSUMO ,yes,1,1,1
l10n_cl_partner_activity_273,l10n_cl_partner_activity_120,,"FABRICACIÓN DE EQUIPO DE MEDICIÓN, PRUEBA, NAVEGACIÓN Y CONTROL Y DE RELOJES           ",not,nd,1,1
l10n_cl_partner_activity_274,l10n_cl_partner_activity_273,265100,"FABRICACIÓN DE EQUIPO DE MEDICIÓN, PRUEBA, NAVEGACIÓN Y CONTROL ",yes,1,1,1
l10n_cl_partner_activity_275,l10n_cl_partner_activity_273,265200,FABRICACIÓN DE RELOJES ,yes,1,1,1
l10n_cl_partner_activity_276,l10n_cl_partner_activity_120,,FABRICACIÓN DE EQUIPO DE IRRADIACIÓN Y EQUIPO ELECTRÓNICO DE USO MÉDICO Y TERAPÉUTICO          ,not,nd,1,1
l10n_cl_partner_activity_277,l10n_cl_partner_activity_276,266000,FABRICACIÓN DE EQUIPO DE IRRADIACIÓN Y EQUIPO ELECTRÓNICO DE USO MÉDICO Y TERAPÉUTICO ,yes,1,1,1
l10n_cl_partner_activity_278,l10n_cl_partner_activity_120,,FABRICACIÓN DE INSTRUMENTOS ÓPTICOS Y EQUIPO FOTOGRÁFICO                ,not,nd,1,1
l10n_cl_partner_activity_279,l10n_cl_partner_activity_278,267000,FABRICACIÓN DE INSTRUMENTOS ÓPTICOS Y EQUIPO FOTOGRÁFICO ,yes,1,1,1
l10n_cl_partner_activity_280,l10n_cl_partner_activity_120,,FABRICACIÓN DE SOPORTES MAGNÉTICOS Y ÓPTICOS                 ,not,nd,1,1
l10n_cl_partner_activity_281,l10n_cl_partner_activity_280,268000,FABRICACIÓN DE SOPORTES MAGNÉTICOS Y ÓPTICOS ,yes,1,1,1
l10n_cl_partner_activity_282,l10n_cl_partner_activity_120,,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS, APARATOS DE DISTRIBUCIÓN Y CONTROL ",not,nd,1,1
l10n_cl_partner_activity_283,l10n_cl_partner_activity_282,271000,"FABRICACIÓN DE MOTORES, GENERADORES Y TRANSFORMADORES ELÉCTRICOS, APARATOS DE DISTRIBUCIÓN Y CONTROL ",yes,1,1,1
l10n_cl_partner_activity_284,l10n_cl_partner_activity_120,,"FABRICACIÓN DE PILAS, BATERÍAS Y ACUMULADORES                 ",not,nd,1,1
l10n_cl_partner_activity_285,l10n_cl_partner_activity_284,272000,"FABRICACIÓN DE PILAS, BATERÍAS Y ACUMULADORES ",yes,1,1,1
l10n_cl_partner_activity_286,l10n_cl_partner_activity_120,,FABRICACIÓN DE CABLES Y DISPOSITIVOS DE CABLEADO                ,not,nd,1,1
l10n_cl_partner_activity_287,l10n_cl_partner_activity_286,273100,FABRICACIÓN DE CABLES DE FIBRA ÓPTICA ,yes,1,1,1
l10n_cl_partner_activity_288,l10n_cl_partner_activity_286,273200,FABRICACIÓN DE OTROS HILOS Y CABLES ELÉCTRICOS ,yes,1,1,1
l10n_cl_partner_activity_289,l10n_cl_partner_activity_286,273300,FABRICACIÓN DE DISPOSITIVOS DE CABLEADO ,yes,1,1,1
l10n_cl_partner_activity_290,l10n_cl_partner_activity_120,,FABRICACIÓN DE EQUIPO ELÉCTRICO DE ILUMINACIÓN                 ,not,nd,1,1
l10n_cl_partner_activity_291,l10n_cl_partner_activity_290,274000,FABRICACIÓN DE EQUIPO ELÉCTRICO DE ILUMINACIÓN ,yes,1,1,1
l10n_cl_partner_activity_292,l10n_cl_partner_activity_120,,FABRICACIÓN DE APARATOS DE USO DOMÉSTICO                 ,not,nd,1,1
